Ano,Nome do autor,Número da emenda,Localidade do gasto (Regionalização),Sigla UF ,Função,Subfunção,Valor empenhado,Valor liquidado,Valor pago
2021,JOSE MARIO SCHREINER,1,GOIÁS,GO,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,CARLA DICKSON,16,RIO GRANDE DO NORTE,RN,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,TABATA AMARAL,3,SÃO PAULO,SP,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,BANCADA DO MARANHAO,3,MARANHÃO,MA,Transporte,Transporte rodoviário,0,0,0
2021,MERLONG SOLANO,2,PIAUÍ,PI,Educação,Ensino superior,0,0,0
2021,PEDRO CUNHA LIMA,8,PARAÍBA,PB,Agricultura,Promoção da produção agropecuária,0,0,0
2021,MISAEL VARELLA,11,MINAS GERAIS,MG,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,FERNANDO AFFONSO COLLOR DE MELLO,2,ALAGOAS,AL,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,ALEXIS FONTEYNE,4,SÃO PAULO,SP,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,BOHN GASS,8,RIO GRANDE DO SUL,RS,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,DIEGO GARCIA,4,PARANÁ,PR,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,EDUARDO GOMES,12,TOCANTINS,TO,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,CAPITAO WAGNER,10,CEARÁ,CE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,PAULAO,13,ALAGOAS,AL,Educação,Ensino superior,0,0,0
2021,POMPEO DE MATTOS,3,RIO GRANDE DO SUL,RS,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,VANDER LOUBET,18,MATO GROSSO DO SUL,MS,Educação,Ensino superior,0,0,0
2021,WALTER ALVES,13,RIO GRANDE DO NORTE,RN,Educação,Ensino superior,0,0,0
2021,CELIO STUDART,4,CEARÁ,CE,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,RELATOR GERAL,1493,Nacional,BR,Urbanismo,infra-estrutura urbana,0,0,0
2021,IGOR KANNARIO,3,BAHIA,BA,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,FRANCISCO JR.,4,GOIÁS,GO,Educação,Ensino superior,0,0,0
2021,ELI BORGES,3,TOCANTINS,TO,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
2021,ANTONIO ANASTASIA,3,MINAS GERAIS,MG,Direitos da cidadania,"Direitos individuais, coletivos e difusos",0,0,0
