codigo,CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
232,2020,3,12019000,21,160,MT,217800,501874,501873213,173792363
233,2020,4,12019000,21,160,MA,320151,201851,201851288,67463381
234,2020,1,12019000,21,160,TO,320151,17073,17072768,6008411
235,2020,4,12019000,21,87,MT,210200,20774,20773280,7161602
236,2020,4,12019000,21,827,PA,210200,10462,10462492,3561948
237,2020,2,12019000,21,628,MT,210200,27352,27352190,9774086
238,2020,4,12019000,21,372,MG,817800,4475,4474999,1591037
239,2020,4,12019000,21,160,SC,927700,289580,289581225,97346351
240,2020,2,12019000,21,670,MT,210200,39627,39627533,14087213
241,2020,3,12019000,21,607,MT,320151,8868,8867690,3026041
242,2020,1,12019000,21,160,MT,320151,10891,10890371,3908811
243,2020,3,12019000,21,383,SP,210200,777,776564,250419
244,2020,4,12019000,21,160,PA,320151,37935,37934377,12788722
245,2020,4,12019000,21,160,PA,217800,29829,29827945,9805137
246,2020,4,12019000,21,455,MT,817800,4133,4132500,1500883
247,2020,3,12019000,21,160,DF,817800,3973,3972993,1350024
248,2020,2,12019000,21,160,MT,727600,6475,6476330,2470503
249,2020,4,12019000,21,245,PA,217800,9950,9950000,3382531
250,2020,3,12019000,21,160,PR,320151,14400,14400000,4921920
251,2020,1,12019000,21,160,MS,927700,4204,4204073,1559433
252,2020,3,12019000,21,161,MT,817800,12371,12370439,4367968
253,2020,4,12019000,21,160,PR,817800,7865,7864683,2763725
254,2020,3,12019000,21,827,RS,1017700,54521,54520555,18995391
255,2020,4,12019000,21,607,MT,217800,7286,7286021,2453932
256,2020,4,12019000,21,160,GO,927700,996,996116,336827
257,2020,2,12019000,21,628,PE,210200,16731,16730788,5697001
258,2020,1,12019000,21,776,SC,917800,392,391859,139357
259,2020,4,12019000,21,160,ND,517800,36000,36000000,12457500
260,2020,3,12019000,21,858,MS,817800,6868,6867718,2357001
261,2020,3,12019000,21,573,MT,210200,30848,30847714,10490691
262,2020,3,12019000,21,474,MG,817800,409,409070,143989
263,2020,4,12019000,21,245,PR,917800,29826,29826637,9692901
264,2020,3,12019000,21,190,SP,817800,21637,21637076,7610661
265,2020,4,12019000,21,23,RO,227600,11500,11500000,3856135
266,2020,1,12019000,21,160,ND,917800,7000,7000000,2588998
267,2020,4,12019000,21,628,PA,217800,4231,4231022,1424108
268,2020,3,12019000,21,827,RO,227600,47116,47115894,16001017
269,2020,4,12019000,21,160,MT,1017700,298,297613,99297
270,2020,4,12019000,21,81,PR,917800,42115,42114010,14624328
