PRODUTOS,VALOR VENDA ,CUSTO PRODUTO,MÊS,RECEITA,LUCRO ,NÚMERO DE PRODUTOS VENDIDOS,CATEGORIA
 PLAFON LED 12W 4000K EMBUTIR REDONDO PAINEL DE LED BRANCO,38,22.49, JANEIRO,874,356.73,23,PLAFON
 PAINEL LED 30 QUADRADO 24W SOBREPOR 4000K,110,54.83, JANEIRO,330,165.51,3,PAINEL
 PAINEL DE LED 22 QUADRADO SOBREPOR 4000K,60,33.26, JANEIRO,720,320.88,12,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,21.76, JANEIRO,440,200.64,11,PAINEL
 LAM.LED G9 3W 200LM 3000K HALLOPIN,35,20.61, JANEIRO,665,273.41,19,LAM.LED
 LAM.LED TKL 1400 6500K,33,19.67, JANEIRO,759,306.59,23,LAM.LED
 LAM.LED VELA TVL 250 CLARA 3000K,30,13, JANEIRO,960,544,32,LAM.LED
 LAMPADA LED TKL100 15W 6500K 1507LM,30,12.6, JANEIRO,870,504.6,29,LAMPADA
 LAMP LED BULBO TKL 15W 1507lm E27 3000K,30,16.87, JANEIRO,540,236.34,18,LAMP
 LAMP LED BULBO TKL 11W 1100lm E27 6500K,30,18.68, JANEIRO,660,249.04,22,LAMP
 LAMPADA LED TKL75 9.9W 4000K 1018LM,17,8.39, JANEIRO,340,172.2,20,LAMPADA
 LAMPADA LED TKL75 9.9W 3000K 1018LM,18,9.74, JANEIRO,288,132.16,16,LAMPADA
 PENDENTE ARAMADO UNI 605 1XE27,480,217.98, JANEIRO,0,0,0,PENDENTE
 CALHA BRILHARE 2X16 LED BRANCA,70,40.06, JANEIRO,70,29.94,1,CALHA
 LUMINARIA FIT LED 1X9W AUTOVOLT 6500k BRANCA,70,44.22, JANEIRO,140,51.56,2,LUMINARIA
 LAMP LED PAR 20 7W VERDE IP65 E27,40,25.38, JANEIRO,440,160.82,11,LAMP
 PLAFON LED QUADRADO FIT TSQL 18W / 22W 3000K,50,26.74, JANEIRO,400,186.08,8,PLAFON
 PLAFON LED 22 REDONDO EMB. 3000K,60,29.21, JANEIRO,600,307.9,10,PLAFON
 LAMP LED AR111 9W GU10 810LM 3000k,85,53, JANEIRO,1275,480,15,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 6500K,12,5.75, JANEIRO,252,131.25,21,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 4000K,25,14.29, JANEIRO,375,160.65,15,LAMP
 LAMPADA LED TKL60 9W 3000K 803LM,12,5.62, JANEIRO,240,127.6,20,LAMPADA
 LAMP LED BULBO TKL 6W 500 E27 4000K,20,12.9, JANEIRO,340,120.7,17,LAMP
 LAMP LED BULBO TKL 4.9W 500lm E27 3000K,11,6.58, JANEIRO,286,114.92,26,LAMP
 LUMINARIA LED TL SLIM 20 AUTOVOLT 4000K BRANCA,320,177.53, JANEIRO,0,0,0,LUMINARIA
 LUMINARIA LED TL SLIM 10 AUTOVOLT 4000K BRANCA,200,85.28, JANEIRO,0,0,0,LUMINARIA
 PLAFON LED 24W 3000K SOBREPOR QUADRADO TLPQ PAINEL DE LED BRANCO,110,54.83, JANEIRO,220,110.34,2,PLAFON
 PLAFON LED 30W 3000K SOBREPOR REDONDO,110,76.62, JANEIRO,110,33.38,1,PLAFON
 PLAFON LED 12W 3000K QUADRADO TLPQ PAINEL DE LED BRANCO,45,21.69, JANEIRO,495,256.41,11,PLAFON
 Tartaruga TTL 05 retangular 1xG9 3000K 127V LED BR,100,69.12, JANEIRO,0,0,0,Tartaruga
 PENDENTE TD 902 PRETO TEXTURARIZADO GRANDE,500,317.79, JANEIRO,0,0,0,PENDENTE
 PENDENTE TD 902 BRANCO TEXTURARIZADO,270,137.09, JANEIRO,0,0,0,PENDENTE
 LAMP LED TDL 07 6W 4000K GU-10,30,17.36, JANEIRO,990,417.12,33,LAMP
 REFLETOR LED 50W SLIM 6500K PRETO,140,63.9, FEVEREIRO,1260,684.9,9,REFLETOR
 LAMPADA LED TKL60 12W 3000K 1018LM,16,7.99, FEVEREIRO,2416,1209.51,151,LAMPADA
 PAINEL DE LED LUX 62X62 36W SOBREPOR 4000K,350,191, FEVEREIRO,4550,2067,13,PAINEL
 PAINEL DE LED LUX 62X62 36W SOBREPOR 3000K,350,191, FEVEREIRO,2800,1272,8,PAINEL
 PAINEL LED LUX 62X62 36W EMBUTIR 4000K 2520LM,315,174.99, FEVEREIRO,3465,1540.11,11,PAINEL
 PAINEL LED LUX 40X40 SPBREPOR 4000K,260,157.5, FEVEREIRO,2340,922.5,9,PAINEL
 PAINEL LED LUX 40X40 32W 4000K EMBUTIT,220,110.64, FEVEREIRO,1540,765.52,7,PAINEL
 PLAFON LED 24w QUADRADO SOBREPOR 4000K,90,41.49, FEVEREIRO,1980,1067.22,22,PLAFON
 PAINEL LED 18W LUX QUADRADO SOBREPOR 4000K,55,28.32, FEVEREIRO,1265,613.64,23,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,22.66, FEVEREIRO,320,138.72,8,PAINEL
 PAINEL LED 18W LUX REDONDO QUADRADO SOBREPOR 4000K,50,24.24, FEVEREIRO,1200,618.24,24,PAINEL
 PLAFON 18W QUADRADO EMBUTIE 4000K,55,25.2, FEVEREIRO,1265,685.4,23,PLAFON
 PAINEL LED 12W REDONDO EMBUTIR 4000K,35,20.22, FEVEREIRO,140,59.12,4,PAINEL
 PENDENTE TASCHIBRA TEARS 5XE27 PRETA,250,134.56, FEVEREIRO,0,0,0,PENDENTE
 DRIVE PARA PAINEL LED 24W AUTOVOLT,25,11.33, FEVEREIRO,375,205.05,15,DRIVE
 DRIVE PARA PAINEL LED 18W LUX AUTOVOLT,20,9.24, FEVEREIRO,160,86.08,8,DRIVE
 PAINEL LED 24W QUADRADO SOBREPOR 3000K,80,38.95, FEVEREIRO,2160,1108.35,27,PAINEL
 PAINEL DE LED 18W QUADRADO SOBREPOR 3000K,65,32.79, FEVEREIRO,1560,773.04,24,PAINEL
 PAINEL LED 12W LUX QUADRADO SOBREPOR 3000K,50,24.4, FEVEREIRO,700,358.4,14,PAINEL
 PAINEL LED 18W LUX QUADRADO EMBUTIR - 3000K,55,27.99, FEVEREIRO,1045,513.19,19,PAINEL
