codigo_ocorrencia 1,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,ocorrencia_saida_pista,ocorrencia_tipo,aeronave_registro_categoria,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_ano_fabricacao,aeronave_fase_operacao,aeronave_assentos
46980,ACIDENTE,GO,1/2/2013,20:50:00,0,NÃO,FALHA DO MOTOR EM VOO,ULTRALEVE,EXPERIMENTAL,SUBSTANCIAL,1999,APROXIMAÇÃO FINAL,187
46982,INCIDENTE,DF,2/4/2013,19:10:00,0,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,AVIÃO,REGULAR,LEVE,2007,DECOLAGEM,10
46984,INCIDENTE,SP,2/6/2013,18:45:00,0,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,AVIÃO,TÁXI AÉREO,LEVE,1978,CRUZEIRO,3
46987,INCIDENTE,SP,2/7/2013,13:15:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,INSTRUÇÃO,LEVE,1993,TÁXI,4
47011,ACIDENTE,GO,2/10/2013,21:00:00,0,SIM,PERDA DE CONTROLE NO SOLO,AVIÃO,PRIVADA,SUBSTANCIAL,2007,DECOLAGEM,4
47012,ACIDENTE,GO,2/8/2013,19:15:00,0,NÃO,POUSO ANTES DA PISTA,AVIÃO,PRIVADA,SUBSTANCIAL,2006,POUSO,6
47013,ACIDENTE,MT,2/4/2013,12:20:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,TÁXI AÉREO,SUBSTANCIAL,1985,DECOLAGEM,152
47014,INCIDENTE GRAVE,MA,2/5/2013,2:04:00,0,NÃO,PANE SECA,AVIÃO,REGULAR,NENHUM,2002,CIRCUITO DE TRÁFEGO,1
47015,ACIDENTE,MG,2/16/2013,9:20:00,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,2012,DECOLAGEM,2
47016,ACIDENTE,SC,2/16/2013,18:10:00,0,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,PRIVADA,SUBSTANCIAL,0,VOO A BAIXA ALTURA,1
47017,ACIDENTE,RS,2/13/2013,12:00:00,0,NÃO,PERDA DE CONTROLE EM VOO,AVIÃO,AGRÍCOLA,SUBSTANCIAL,1978,ESPECIALIZADA,1
47018,ACIDENTE,GO,2/16/2013,20:00:00,0,NÃO,POUSO ANTES DA PISTA,PLANADOR,EXPERIMENTAL,SUBSTANCIAL,1988,CIRCUITO DE TRÁFEGO,2
47019,ACIDENTE,RS,2/12/2013,22:15:00,0,NÃO,INDETERMINADO,ULTRALEVE,EXPERIMENTAL,SUBSTANCIAL,2012,INDETERMINADA,4
47023,INCIDENTE GRAVE,SP,2/16/2013,15:00:00,0,NÃO,OUTROS,AVIÃO,PRIVADA,SUBSTANCIAL,1981,DECOLAGEM,6
47024,ACIDENTE,SP,2/18/2013,15:15:00,0,NÃO,PERDA DE CONTROLE NO SOLO,AVIÃO,PRIVADA,SUBSTANCIAL,1973,POUSO,1
