MêsAno,me,Mês,Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
Jun/21,6,Jun,21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,163560120.96,91439949.30,70583252.21,2162433.71
Jul/21,7,Jul,21,26000 - Ministério da Educação,26283 - Fundação Universidade Federal do Mato Grosso do Sul,96740483.71,73126117.52,94258918.87,998059.91
Jul/21,7,Jul,21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,8292840.40,25607323.89,30960343.99,2035566.01
fev/21,2,fev,21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,1642493.60,24512122.06,24426638.37,2997473.03
Mar/21,3,Mar,21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,1280785.68,23899887.60,23827859.11,1231310.36
mai/21,5,mai,21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,35757013.34,25138920.88,25453150.83,1580683.53
Jun/21,6,Jun,21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,89315103.34,30960339.06,25336369.34,2465724.34
abr/21,4,abr,21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,2063664.20,25671747.03,24336503.03,5643198.82
Jan/21,1,Jan,21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,143938962.19,23878200.36,8594212.13,21023293.07
ago/21,8,ago,21,26000 - Ministério da Educação,26266 - Fundação Universidade Federal do Pampa,7844517.43,25372620.83,25560143.79,1283067.91
fev/21,2,fev,21,26000 - Ministério da Educação,26279 - Fundação Universidade Federal do Piauí,19767957.17,55423791.04,55326458.98,7130633.98
