Index, Preço ,Marca,Modelo,Ano,Status do veículo,Milhas,Cor,Estado,País
1769," $ 14,500.00 ",ford,door,2014,clean vehicle,71205,black,florida, usa
1770," $ 24,300.00 ",ford,explorer,2018,clean vehicle,26186,silver,nevada, usa
1771," $ 12,300.00 ",ford,fusion,2018,clean vehicle,38157,white,nevada, usa
1772," $ 14,800.00 ",ford,door,2016,clean vehicle,30325,blue,new jersey, usa
1773," $ 17,100.00 ",ford,mustang,2018,clean vehicle,31561,silver,nevada, usa
1774," $ 6,800.00 ",ford,door,2016,clean vehicle,66655,no_color,new jersey, usa
1775," $ 20,300.00 ",ford,explorer,2018,clean vehicle,19029,blue,connecticut, usa
1776," $ 26,300.00 ",ford,f-150,2018,clean vehicle,11739,silver,new york, usa
1777," $ 22,500.00 ",ford,door,2016,clean vehicle,50423,silver,nevada, usa
1778," $ 41,200.00 ",ford,srw,2019,clean vehicle,25638,gray,tennessee, usa
1779," $ 20,400.00 ",ford,door,2017,clean vehicle,59798,gray,florida, usa
1780," $ 49,900.00 ",ford,drw,2019,clean vehicle,5035,black,virginia, usa
1781," $ 12,100.00 ",ford,escape,2017,clean vehicle,32284,silver,new york, usa
1782," $ 24,000.00 ",ford,door,2016,clean vehicle,40371,blue,florida, usa
1783," $ 9,500.00 ",ford,escape,2017,clean vehicle,107569,white,new york, usa
1784," $ 9,000.00 ",ford,door,2017,clean vehicle,96451,silver,new jersey, usa
1785," $ 9,800.00 ",ford,escape,2017,clean vehicle,94851,white,new jersey, usa
1786," $ 7,800.00 ",ford,door,2017,clean vehicle,108727,silver,connecticut, usa
1787," $ 17,200.00 ",ford,f-150,2017,clean vehicle,91979,white,new york, usa
1788," $ 18,800.00 ",ford,explorer,2017,clean vehicle,76258,gray,new york, usa
1789," $ 9,800.00 ",ford,door,2014,clean vehicle,147574,white,california, usa
