FID,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,Descrição,legenda,classe
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6c88,1944,RIO DE JANEIRO,Areal,2010,19689015625,11982,1643216015625,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6c3f,827,ALAGOAS,Senador Rui Palmeira,2010,3523192578125,13110,268740991211,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6c39,490,RIO GRANDE DO SUL,Água Santa,2010,797018515625,3619,2202316992188,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6c23,4830,BAHIA,Barro Alto,2010,41433265625,14172,292360009766,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6c19,4470,BAHIA,Ibipitanga,2010,438901875,14408,304623999023,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6bf9,5055,SÃO PAULO,Jandira,2010,1409889375,112130,1257370019531,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6bf7,945,PIAUÍ,São Raimundo Nonato,2010,1551530625,32215,481616992188,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6bdf,1823,RIO GRANDE DO NORTE,Pendências,2010,10464815625,13034,802885986328,Produto Interno Bruto per capita, - 9639.65,1
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6bdd,442,RIO GRANDE DO SUL,Formigueiro,2010,951229375,7214,1318587988281,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6bd1,1798,RIO DE JANEIRO,Natividade,2010,1876121875,15406,1217787011719,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6bad,966,GOIÁS,Córrego do Ouro,2010,2956024023438,2632,1123108984375,Produto Interno Bruto per capita,9639.65 - 22144.80,2
vw_pib_percapita.fid--5b279956_17f92aca0ed_-6b97,908,GOIÁS,Ivolândia,2010,303265546875,2738,1107616992188,Produto Interno Bruto per capita,9639.65 - 22144.80,2
